Name,Lat,Longt,AirTemp,RelativeHumidity,WindSpeed,Cluster
4UT01_2005_8_29.n3,40.82944,-111.88222,0.717248062015504,0.1975,0.03833333333333334,3
690_2005_8_29.n3,43.5326,-112.94775,0.741375968992248,0.07333333333333333,0.13666666666666666,3
A01_2005_8_29.n3,37.0339,-116.0989,0.7906976744186046,0.0075,0.01,3
A02_2005_8_29.n3,37.1428,-116.1117,0.7877906976744186,0.0975,0.01,3
A03_2005_8_29.n3,37.05183,-115.9965,0.7936046511627907,0.0,0.0925,3
A04_2005_8_29.n3,37.1006,-116.1231,0.7761627906976744,0.0775,0.0975,3
A09_2005_8_29.n3,37.1367,-116.0469,0.7892441860465116,0.0,0.1225,3
A12_2005_8_29.n3,37.1967,-116.2275,0.6933139534883721,0.01,0.01,3
A14_2005_8_29.n3,36.937,-116.17167,0.7790697674418604,0.01,0.08,3
A16_2005_8_29.n3,37.0714,-116.0561,0.7776162790697674,0.0,0.12,3
A17_2005_8_29.n3,37.0714,-116.0561,0.7936046511627907,0.01,0.105,3
A18_2005_8_29.n3,37.1067,-116.3231,0.752906976744186,0.17500000000000002,0.10250000000000001,3
A20_2005_8_29.n3,37.2608,-116.4369,0.7238372093023255,0.25,0.1,3
A21_2005_8_29.n3,37.0314,-116.1728,0.751453488372093,0.0975,0.085,3
A24_2005_8_29.n3,36.8433,-116.47,0.7674418604651162,0.9400000000000001,0.075,2
A25_2005_8_29.n3,36.6856,-116.4069,0.8313953488372092,0.1475,0.0925,3
A34_2005_8_29.n3,36.8436,-115.9083,0.8270348837209301,0.0975,0.1125,3
A35_2005_8_29.n3,37.8014,-116.7594,0.7572674418604651,0.2675,0.1225,3
A42_2005_8_29.n3,36.7056,-116.3589,0.8313953488372092,0.0,0.10250000000000001,3
A45_2005_8_29.n3,37.0064,-116.0664,0.7936046511627907,0.0,0.1075,3
A49_2005_8_29.n3,37.1039,-116.0919,0.7761627906976744,0.0,0.105,3
AAWC1_2005_8_29.n3,35.8639,-119.3939,0.8023255813953488,0.16,0.025,3
ABE_2005_8_29.n3,42.95497,-112.82455,0.7415213178294574,0.12666666666666665,0.058333333333333334,3
ABMN6_2005_8_29.n3,43.1131,-78.4042,0.7151162790697674,0.31,0.05,0
ABNW1_2005_8_29.n3,46.3428,-123.0833,0.5465116279069767,0.88,0.08,2
ACHC1_2005_8_29.n3,37.1575,-120.25,0.8125,0.2325,0.0725,3
ACOC1_2005_8_29.n3,36.8594,-119.6006,0.5319767441860465,0.195,0.05,3
ACON5_2005_8_29.n3,34.7197,-107.8483,0.6104651162790697,0.29,0.08,3
ACRI1_2005_8_29.n3,43.6217,-113.3889,0.7441860465116279,0.06,0.11,3
ACRU1_2005_8_29.n3,37.5222,-112.2711,0.6802325581395349,0.14,0.04,3
ADFW1_2005_8_29.n3,46.2683,-117.4983,0.6744186046511628,0.22,0.03,3
AELG1_2005_8_29.n3,31.1097,-83.4269,0.7558139534883721,0.67,0.07,1
AFRG1_2005_8_29.n3,33.8967,-83.3656,0.7325581395348837,0.63,0.03,1
AFSN2_2005_8_29.n3,39.5025,-117.5144,0.7616279069767441,0.06,0.06,3
AFTY_2005_8_29.n3,42.73333,-110.93583,0.6962209302325582,0.1375,0.0375,3
AFWT2_2005_8_29.n3,28.3044,-96.8233,0.7965116279069767,0.44,0.05,0
AFWW3_2005_8_29.n3,44.6981,-91.1342,0.6744186046511628,0.56,0.03,1
AGFO3_2005_8_29.n3,42.5522,-124.0578,0.6569767441860465,0.53,0.05,0
AGKO_2005_8_29.n3,42.56528,-121.9825,0.6581395348837209,0.365,0.0925,0
AGLA2_2005_8_29.n3,65.02,-146.2281,0.6162790697674418,0.3,0.02,0
AGZM5_2005_8_29.n3,48.5,-95.87,0.6337209302325582,0.72,0.07,1
AHTI_2005_8_29.n3,44.025,-111.46667,0.7002906976744186,0.145,0.075,3
AKFLO_2005_8_29.n3,42.16472,-121.755,0.7125,0.2175,0.0275,3
ALDC1_2005_8_29.n3,40.1867,-123.5903,0.6511627906976744,0.63,0.02,1
ALDM8_2005_8_29.n3,47.9225,-108.5528,0.7151162790697674,0.11,0.02,3
ALFO3_2005_8_29.n3,43.9214,-119.5964,0.7209302325581395,0.08,0.07,3
ALHF1_2005_8_29.n3,29.803,-82.41,0.7084302325581395,0.765,0.055,1
ALLN2_2005_8_29.n3,39.7358,-115.5186,0.75,0.06,0.05,3
ALRA3_2005_8_29.n3,33.8417,-109.1222,0.6511627906976744,0.2,0.03,3
ALRN2_2005_8_29.n3,41.6869,-116.7661,0.7616279069767441,0.06,0.11,3
ALSA2_2005_8_29.n3,60.1958,-154.32,0.5581395348837209,0.88,0.08,2
ALT_2005_8_29.n3,40.571,-111.631,0.602906976744186,0.24,0.0,3
AMDN8_2005_8_29.n3,46.5461,-103.5186,0.7151162790697674,0.21,0.06,3
AMNC1_2005_8_29.n3,36.7567,-120.3714,0.811046511627907,0.2,0.0725,3
AMOC1_2005_8_29.n3,33.3814,-117.2856,0.6918604651162791,0.64,0.08,1
ANDW4_2005_8_29.n3,42.4372,-108.9456,0.6627906976744186,0.09,0.08,3
ANEC1_2005_8_29.n3,32.8344,-116.7397,0.7441860465116279,0.27,0.0,3
ANEW1_2005_8_29.n3,48.7431,-119.6222,0.622093023255814,0.24,0.17,3
ANIC1_2005_8_29.n3,34.0158,-119.3597,0.6046511627906976,0.85,0.23,2
ANPM1_2005_8_29.n3,44.3769,-68.2608,0.6162790697674418,0.92,0.08,2
ANWT2_2005_8_29.n3,29.6617,-96.2597,0.7616279069767441,0.5700000000000001,0.07,1
AOST2_2005_8_29.n3,33.72525,-102.19080000000001,0.702858527131783,0.5416666666666666,0.05583333333333333,0
AP001_2005_8_29.n3,40.0545,-105.2078,0.6802325581395349,0.395,0.005,0
AP002_2005_8_29.n3,24.6611,-81.4825,0.7151162790697674,0.8200000000000001,0.075,2
AP004_2005_8_29.n3,37.1005,-76.545,0.7063953488372093,0.44,0.025,0
AP005_2005_8_29.n3,39.0152,-96.2888,0.7034883720930233,0.99,0.0025,2
AP008_2005_8_29.n3,28.5627,-81.2708,0.727906976744186,0.726,0.038,1
AP012_2005_8_29.n3,41.70236,-86.87868,0.6787790697674418,1.0,0.0225,2
AP013_2005_8_29.n3,45.0465,-93.3458,0.6555232558139534,0.5125,0.0275,0
AP014_2005_8_29.n3,40.7272,-73.6908,0.6802325581395349,0.856,0.006,2
AP015_2005_8_29.n3,42.3447,-74.0305,0.6627906976744186,0.46,0.03,0
AP017_2005_8_29.n3,41.7797,-107.1167,0.6947674418604651,1.0,0.0125,2
AP019_2005_8_29.n3,42.1972,-79.4243,0.6366279069767442,0.63,0.0,1
AP020_2005_8_29.n3,32.4418,-110.78,0.6148255813953488,0.5225,0.0,0
AP022_2005_8_29.n3,26.1275,-81.766,0.7398255813953488,0.5925,0.0625,1
AP023_2005_8_29.n3,35.9953,-115.0697,0.8343023255813953,0.09,0.0125,3
AP030_2005_8_29.n3,27.8572,-82.8043,0.7456395348837209,1.0,0.05,2
AP034_2005_8_29.n3,41.9207,-80.2385,0.6933139534883721,0.6425,0.0075,1
AP035_2005_8_29.n3,47.4693,-122.61219999999999,0.6356589147286822,0.8266666666666668,0.01,2
AP036_2005_8_29.n3,47.5533,-122.8813,0.624031007751938,0.36,0.003333333333333333,0
AP038_2005_8_29.n3,27.8273,-82.6502,0.7369186046511628,1.0,0.0675,2
AP039_2005_8_29.n3,27.864,-82.7247,0.7412790697674418,0.64,0.04,1
AP040_2005_8_29.n3,41.2895,-96.0437,0.6351744186046512,0.845,0.0075,2
AP044_2005_8_29.n3,34.9517,-82.2593,0.7543604651162791,0.4175,0.0175,0
AP046_2005_8_29.n3,39.47417,-94.5758,0.7238372093023255,0.5700000000000001,0.0,1
AP047_2005_8_29.n3,27.4788,-82.518,0.7180232558139534,0.765,0.075,1
AP051_2005_8_29.n3,34.275,-88.4133,0.7558139534883721,0.40750000000000003,0.04,0
AP053_2005_8_29.n3,31.0638,-97.4925,0.7122093023255814,0.6025,0.055,1
AP056_2005_8_29.n3,32.36468,-110.9725,0.7877906976744186,1.0,0.0,2
AP058_2005_8_29.n3,41.3428,-94.3172,0.6875,0.54,0.0025,0
AP061_2005_8_29.n3,38.5422,-121.3705,0.7979651162790697,0.1625,0.0225,3
AP063_2005_8_29.n3,28.566,-81.3492,0.7151162790697674,0.755,0.0,1
AP064_2005_8_29.n3,43.1312,-77.5115,0.6947674418604651,0.6950000000000001,0.0,1
AP066_2005_8_29.n3,39.5667,-75.8722,0.7228682170542635,1.0,0.0,2
AP067_2005_8_29.n3,28.1875,-82.3388,0.6802325581395349,1.0,0.0075,2
AP069_2005_8_29.n3,40.1575,-75.3975,0.6656976744186046,0.9325,0.0,2
AP071_2005_8_29.n3,34.0005,-81.0727,0.7805232558139534,0.5375,0.0,0
AP073_2005_8_29.n3,30.2267,-98.1958,0.748546511627907,0.4,0.0525,0
AP074_2005_8_29.n3,44.7835,-93.49129999999998,0.6821705426356589,0.6766666666666667,0.07,1
AP075_2005_8_29.n3,51.017500000000005,-113.9955,0.7054263565891472,0.2366666666666667,0.02,3
AP079_2005_8_29.n3,38.2244,-85.7035,0.6497093023255814,0.99,0.0,2
AP080_2005_8_29.n3,44.145,-122.5885,0.6875,0.465,0.0075,0
AP086_2005_8_29.n3,29.6727,-98.1157,0.7703488372093023,0.43,0.055,0
AP093_2005_8_29.n3,41.32,-96.3658,0.6482558139534884,0.7475,0.0,1
AP095_2005_8_29.n3,41.1518,-96.0597,0.6293604651162791,0.9575,0.04,2
AP096_2005_8_29.n3,33.2673,-96.5327,0.747093023255814,0.36,0.065,0
AP105_2005_8_29.n3,26.5413,-80.0697,0.7616279069767441,1.0,0.0575,2
AP108_2005_8_29.n3,40.26833,-83.6075,0.7005813953488372,0.6,0.0,1
AP109_2005_8_29.n3,43.6363,-73.7968,0.6511627906976744,0.9025,0.0,2
AP110_2005_8_29.n3,40.0352,-82.9913,0.752906976744186,0.1775,0.0075,3
AP117_2005_8_29.n3,31.786,-106.3818,0.7063953488372093,0.4425,0.0475,0
AP119_2005_8_29.n3,42.8663,-85.8617,0.6686046511627907,0.525,0.0325,0
AP125_2005_8_29.n3,42.941,-86.0877,0.690406976744186,1.0,0.03,2
AP127_2005_8_29.n3,42.531,-85.8252,0.6773255813953488,0.47500000000000003,0.0675,0
AP129_2005_8_29.n3,43.8755,-85.8422,0.7325581395348837,0.55,0.16,0
AP131_2005_8_29.n3,43.2408,-84.88,0.686046511627907,0.48,0.0575,0
AP132_2005_8_29.n3,43.5598,-85.7742,0.6705426356589147,0.26666666666666666,0.06,3
AP136_2005_8_29.n3,43.6417,-86.3293,0.6656976744186046,0.535,0.08750000000000001,0
AP137_2005_8_29.n3,39.5802,-105.0113,0.6744186046511628,0.28600000000000003,0.0,3
AP138_2005_8_29.n3,39.8847,-94.7258,0.7281976744186046,0.6325000000000001,0.0,1
AP139_2005_8_29.n3,36.2017,-115.26,0.8226744186046511,0.135,0.055,3
AP142_2005_8_29.n3,32.8168,-96.7038,0.757751937984496,0.45,0.0,0
AP143_2005_8_29.n3,33.1634,-96.5727,0.7616279069767441,0.44,0.015,0
AP146_2005_8_29.n3,28.3772,-80.713,0.7209302325581395,0.8775000000000001,0.015,2
AP152_2005_8_29.n3,45.3452,-93.5917,0.6666666666666666,0.5033333333333334,0.01,0
AP154_2005_8_29.n3,39.106,-84.8805,0.7543604651162791,0.54,0.0125,0
AP155_2005_8_29.n3,33.563,-95.2968,0.7630813953488371,0.4325,0.015,0
AP156_2005_8_29.n3,34.8635,-118.1728,0.7994186046511628,0.15,0.095,3
AP159_2005_8_29.n3,35.1038,-78.99,0.7441860465116279,0.5750000000000001,0.0,1
AP163_2005_8_29.n3,45.0402,-92.8612,0.6787790697674418,0.425,0.045,0
AP164_2005_8_29.n3,45.5878,-122.1582,0.686046511627907,0.53,0.0,0
